,0
158219,"We passed the window and saw the fancy posters, all blue seas and palm trees."
97565,- Wie haben Sie Lejeune verloren?
143327,¡Súmalos!
174330,"Alguses, kus on seks ja rääkimine, seks ja rääkimine."
11681,"Vi pruntis de li, ĉu ne?"
40135,Said aru?
94391,Ma näitan sulle oma kapuutsi.
166694,Не.
31192,Δεν μπορώ.
2642,Miten niin?
15158,Kaer-eston.
127011,- Seguru horrela esaten diela guztiei.
55375,Daar!
195413,So?
8512,-Niinhän minä sanoin.
34375,"- Molt bé, senyor."
154008,"Hästi, kui tõuseb 500-ni, annan sulle vastused ja jagame raha ära."
89554,"See juhtub, Larry."
131506,- Com et sents?
112045,Neptal jsem se co jste viděl.
